Subtype	Cluster	Cell	Score	Celltype
N	N_ST_P1_Cluster8	CD8+ Naive T	0.00202054291746932	Immune
N	N_ST_P1_Cluster8	Natural Killer	0.00156797956446708	Immune
N	N_ST_P1_Cluster8	Classical Monocyte	0.00300126321007173	Immune
N	N_ST_P1_Cluster8	Nonclassical Monocyte	0.000676547692328157	Immune
N	N_ST_P1_Cluster8	Myeloid Dendritic Type 2	0.000521524602872622	Immune
N	N_ST_P1_Cluster8	Platelet/Megakaryocyte	2.37907700185161e-06	Immune
N	N_ST_P1_Cluster8	B	0.022660647539543	Immune
N	N_ST_P1_Cluster8	IGSF21+ Dendritic	0.0275231470953152	Immune
N	N_ST_P1_Cluster8	EREG+ Dendritic	0.00274023408747293	Immune
N	N_ST_P1_Cluster8	Plasmacytoid Dendritic	0.0274955171217002	Immune
N	N_ST_P1_Cluster8	Myeloid Dendritic Type 1	0.00336602370433997	Immune
N	N_ST_P1_Cluster8	TREM2+ Dendritic	0.222458026836491	Immune
N	N_ST_P1_Cluster8	Differentiating Basal	0.00054561034503986	Epithelial
N	N_ST_P1_Cluster8	Proliferating Basal	0	Epithelial
N	N_ST_P1_Cluster8	Basal	0.0018839031902319	Epithelial
N	N_ST_P1_Cluster8	Plasma	0.0721982905577617	Immune
N	N_ST_P1_Cluster8	Macrophage	0.128842657586849	Immune
N	N_ST_P1_Cluster8	Basophil/Mast 1	0.00590622709376949	Immune
N	N_ST_P1_Cluster8	Proliferating Macrophage	0.000117841546030026	Immune
N	N_ST_P1_Cluster8	Capillary Aerocyte	0.0135458292426558	Endothelial
N	N_ST_P1_Cluster8	Capillary	0.0455299478290647	Endothelial
N	N_ST_P1_Cluster8	Bronchial Vessel 2	0.00566609149624199	Endothelial
N	N_ST_P1_Cluster8	Vein	0.035133219531614	Endothelial
N	N_ST_P1_Cluster8	Artery	0.0213914940103628	Endothelial
N	N_ST_P1_Cluster8	Lymphatic	0.0181965726086302	Endothelial
N	N_ST_P1_Cluster8	Bronchial Vessel 1	0.00508018576835968	Endothelial
N	N_ST_P1_Cluster8	Airway Smooth Muscle	0.0655488799007516	Stroma
N	N_ST_P1_Cluster8	Alveolar Epithelial Type 2	0.00585003061447391	Epithelial
N	N_ST_P1_Cluster8	Club	0.00680855880650083	Epithelial
N	N_ST_P1_Cluster8	Pericyte	0.016814327827037	Stroma
N	N_ST_P1_Cluster8	Myofibroblast	0.00337123907147897	Stroma
N	N_ST_P1_Cluster8	Alveolar Epithelial Type 1	0.00166598507353721	Epithelial
N	N_ST_P1_Cluster8	Ciliated	0.0982737855678014	Epithelial
N	N_ST_P1_Cluster8	Adventitial Fibroblast	0.0414730086492136	Stroma
N	N_ST_P1_Cluster8	Alveolar Fibroblast	0.0110694180689075	Stroma
N	N_ST_P1_Cluster8	Lipofibroblast	0.00777500632121821	Stroma
N	N_ST_P1_Cluster8	Mesothelial	0	Stroma
N	N_ST_P1_Cluster8	Capillary Intermediate 1	0.00307310349742324	Endothelial
N	N_ST_P1_Cluster8	Capillary Intermediate 2	0.00262103369527204	Endothelial
N	N_ST_P1_Cluster8	Vascular Smooth Muscle	0.0132044286514239	Stroma
N	N_ST_P1_Cluster8	Mucous	0.0137786897525021	Epithelial
N	N_ST_P1_Cluster8	Proliferating NK/T	0.000333069467913385	Immune
N	N_ST_P1_Cluster8	Natural Killer T	0.000775599790326929	Immune
N	N_ST_P1_Cluster8	OLR1+ Classical Monocyte	0	Immune
