CellName	Cluster	Score	Sample
Immune_CD8+ Naive T	MP_PA_Demo_Cluster0	0.042222302	Demo
Immune_CD8+ Naive T	PA_Demo_Cluster1	0.000406863	Demo
Immune_CD8+ Naive T	MP_Demo_Cluster2	0.017113861	Demo
Immune_CD8+ Naive T	S_Demo_Cluster3	0.025319693	Demo
Immune_CD8+ Naive T	S_Demo_Cluster4	0.007785041	Demo
Immune_CD8+ Naive T	S_Demo_Cluster5	0.00372689	Demo
Immune_CD8+ Naive T	S_Demo_Cluster6	0.013369353	Demo
Immune_CD8+ Naive T	S_Demo_Cluster7	0.00018238	Demo
Immune_CD8+ Naive T	PA_Demo_Cluster8	0.000367104	Demo
Immune_CD8+ Naive T	MP_Demo_Cluster9	0.047187384	Demo
Epithelial_Ciliated	MP_PA_Demo_Cluster0	0.002778242	Demo
Epithelial_Ciliated	PA_Demo_Cluster1	0.011261037	Demo
Epithelial_Ciliated	MP_Demo_Cluster2	0.000620745	Demo
Epithelial_Ciliated	S_Demo_Cluster3	0.002145342	Demo
Epithelial_Ciliated	S_Demo_Cluster4	0.009379603	Demo
Epithelial_Ciliated	S_Demo_Cluster5	0.000197566	Demo
Epithelial_Ciliated	S_Demo_Cluster6	2.30E-05	Demo
Epithelial_Ciliated	S_Demo_Cluster7	0.001421125	Demo
Epithelial_Ciliated	PA_Demo_Cluster8	0.029516185	Demo
Epithelial_Ciliated	MP_Demo_Cluster9	0.002040947	Demo
Immune_Classical Monocyte	MP_PA_Demo_Cluster0	0.02735523	Demo
Immune_Classical Monocyte	PA_Demo_Cluster1	0.000658881	Demo
Immune_Classical Monocyte	MP_Demo_Cluster2	0.034424658	Demo
Immune_Classical Monocyte	S_Demo_Cluster3	0.039937538	Demo
Immune_Classical Monocyte	S_Demo_Cluster4	0.01131166	Demo
Immune_Classical Monocyte	S_Demo_Cluster5	0.008665712	Demo
Immune_Classical Monocyte	S_Demo_Cluster6	0.056206803	Demo
Immune_Classical Monocyte	S_Demo_Cluster7	4.82E-05	Demo
Immune_Classical Monocyte	PA_Demo_Cluster8	0.000180784	Demo
Immune_Classical Monocyte	MP_Demo_Cluster9	0.011230117	Demo
Epithelial_Club	MP_PA_Demo_Cluster0	0.02416962	Demo
Epithelial_Club	PA_Demo_Cluster1	0.234756849	Demo
Epithelial_Club	MP_Demo_Cluster2	0.001243805	Demo
Epithelial_Club	S_Demo_Cluster3	0.018595456	Demo
Epithelial_Club	S_Demo_Cluster4	0.014147619	Demo
Epithelial_Club	S_Demo_Cluster5	0.000250419	Demo
Epithelial_Club	S_Demo_Cluster6	0.007920141	Demo
Epithelial_Club	S_Demo_Cluster7	0.01033262	Demo
Epithelial_Club	PA_Demo_Cluster8	0.1177263	Demo
Epithelial_Club	MP_Demo_Cluster9	0.057362669	Demo
Immune_Dendritic	MP_PA_Demo_Cluster0	0	Demo
Immune_Dendritic	PA_Demo_Cluster1	0	Demo
Immune_Dendritic	MP_Demo_Cluster2	0.001018213	Demo
Immune_Dendritic	S_Demo_Cluster3	0	Demo
Immune_Dendritic	S_Demo_Cluster4	0	Demo
Immune_Dendritic	S_Demo_Cluster5	0	Demo
Immune_Dendritic	S_Demo_Cluster6	0	Demo
Immune_Dendritic	S_Demo_Cluster7	0	Demo
Immune_Dendritic	PA_Demo_Cluster8	0	Demo
Immune_Dendritic	MP_Demo_Cluster9	0	Demo
Epithelial_Differentiating Basal	MP_PA_Demo_Cluster0	0.002227544	Demo
Epithelial_Differentiating Basal	PA_Demo_Cluster1	0.000976884	Demo
Epithelial_Differentiating Basal	MP_Demo_Cluster2	0.001458833	Demo
Epithelial_Differentiating Basal	S_Demo_Cluster3	0.008834808	Demo
Epithelial_Differentiating Basal	S_Demo_Cluster4	0.05535118	Demo
Epithelial_Differentiating Basal	S_Demo_Cluster5	7.26E-05	Demo
